"Table S1. Metadata of 122,680 filtered Salmonella enterica genomes."			
Genome ID	Serotype	Isolation Source	Country
GCA_007199255.1	Enteritidis	Animals	United Kingdom
GCA_007199355.1	Montevideo	Animals	United Kingdom
GCA_007199635.1	Enteritidis	Animals	United Kingdom
GCA_007199795.1	Typhimurium	Animals	United Kingdom
GCA_007230015.1	Enteritidis	Animals	United Kingdom
GCA_007231235.1	Typhimurium	Animals	United Kingdom
GCA_007264145.1	Enteritidis	Animals	United Kingdom
GCA_007265465.1	Enteritidis	Animals	United Kingdom
GCA_007266785.1	Enteritidis	Animals	United Kingdom
GCA_007266925.1	Typhimurium	Animals	United Kingdom
GCA_007267125.1	Stanley	Animals	United Kingdom
GCA_007267605.1	Enteritidis	Animals	United Kingdom
GCA_007268045.1	Enteritidis	Animals	United Kingdom
GCA_007268085.1	Enteritidis	Animals	United Kingdom
GCA_007268185.1	Typhimurium	Animals	United Kingdom
GCA_007268225.1	Typhimurium	Animals	United Kingdom
GCA_007268245.1	Typhimurium	Animals	United Kingdom
GCA_007268265.1	Enteritidis	Animals	United Kingdom
GCA_007268285.1	Enteritidis	Animals	United Kingdom
GCA_007268885.1	Typhimurium	Animals	United Kingdom
GCA_007269025.1	Typhimurium	Animals	United Kingdom
GCA_007269125.1	Enteritidis	Animals	United Kingdom
GCA_007269185.1	Typhimurium	Animals	United Kingdom
GCA_007269345.1	Enteritidis	Animals	United Kingdom
GCA_007269675.1	Enteritidis	Animals	United Kingdom
GCA_007269715.1	Litchfield	Animals	United Kingdom
GCA_007269875.1	Senftenberg	Animals	United Kingdom
GCA_007270215.1	Java	Animals	United Kingdom
GCA_007270375.1	Enteritidis	Animals	United Kingdom
GCA_007270705.1	Typhimurium	Animals	United Kingdom
GCA_007270815.1	Typhimurium	Animals	United Kingdom
GCA_007270995.1	Typhimurium	Animals	United Kingdom
GCA_007271315.1	Enteritidis	Animals	United Kingdom
GCA_007271415.1	Typhimurium	Animals	United Kingdom
GCA_007271775.1	Enteritidis	Animals	United Kingdom
GCA_007272055.1	Enteritidis	Animals	United Kingdom
GCA_007273095.1	Typhimurium	Animals	United Kingdom
GCA_007273455.1	Typhimurium	Animals	United Kingdom
GCA_007274355.1	Typhimurium	Animals	United Kingdom
GCA_007275255.1	Enteritidis	Animals	United Kingdom
GCA_007275455.1	Enteritidis	Animals	United Kingdom
GCA_007275975.1	Enteritidis	Animals	United Kingdom
GCA_007277255.1	Livingstone	Animals	United Kingdom
GCA_007277375.1	Typhimurium	Animals	United Kingdom
GCA_007278915.1	Enteritidis	Animals	United Kingdom
GCA_007284915.1	Typhimurium	Animals	United Kingdom
GCA_007285075.1	Enteritidis	Animals	United Kingdom
GCA_007290975.1	Enteritidis	Animals	United Kingdom
GCA_007298935.1	Enteritidis	Animals	United Kingdom
GCA_007319115.1	Senftenberg	Animals	United Kingdom
GCA_007323975.1	Tennessee	Animals	United Kingdom
GCA_007361495.1	Enteritidis	Animals	United Kingdom
GCA_007362215.1	Enteritidis	Animals	United Kingdom
GCA_007374385.1	Enteritidis	Animals	United Kingdom
GCA_007387185.1	Enteritidis	Animals	United Kingdom
GCA_007404145.1	Coeln	Animals	United Kingdom
GCA_007404945.1	Senftenberg	Animals	United Kingdom
GCA_007412225.1	Senftenberg	Animals	United Kingdom
GCA_007413565.1	Enteritidis	Animals	United Kingdom
GCA_007415025.1	Enteritidis	Animals	United Kingdom
GCA_007416325.1	Enteritidis	Animals	United Kingdom
GCA_007416725.1	Enteritidis	Animals	United Kingdom
GCA_007416905.1	Enteritidis	Animals	United Kingdom
GCA_007416965.1	Enteritidis	Animals	United Kingdom
GCA_007417565.1	Enteritidis	Animals	United Kingdom
GCA_007417905.1	Enteritidis	Animals	United Kingdom
GCA_007418265.1	Enteritidis	Animals	United Kingdom
GCA_007418425.1	Enteritidis	Animals	United Kingdom
GCA_007419185.1	Typhimurium	Animals	United Kingdom
GCA_007463175.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007473895.1	Eimsbuettel	Animals	United Kingdom
GCA_007502005.1	Salmonella Unnamed	Animals	United Kingdom
GCA_007502355.1	Salmonella enterica	Animals	United Kingdom
GCA_007505125.1	Enteritidis	Animals	United Kingdom
GCA_007505965.1	Tennessee	Animals	United Kingdom
